CC(OC/C=C(C)/CCC=C(C)C)=O	Singab_001
O=C(O)/C=C/[C@H]1C(CO)=C[C@@H](CCCCCCC)[C@H](CCCCCCC)[C@H]1/C(CO)=C/C=C/C(O)=O	BCFA_6b
CCCCCCC/C=C/C(COCCC)=C/C=C/C(O)=O	BCFA_6c
CCCCCCC/C=C/C(CCCC(O)=O)=C	BCFA_7a
CCCCCCC/C=C/C(C[H])=C/C=C/C(O)=O	BCFA_7b
O=C(O)/C=C/[C@@H]1[C@@H](/C=C(COC(C)=O)/C=C/CCCCCCC)[C@H](C(O)=O)[C@H](CCCCCCC)C=C1COC(C)=O	BCFA_8
O=C(O)/C=C/[C@H]1C(CO)=C[C@@H](CCCCCCC)[C@H](CCCCCCC)[C@H]1/C(COC(C)=O)=C/C=C/C(O)=O	BCFA_9
O=C(O)/C=C/[C@H]1C(CO)=C[C@@H](CCCCCCC)[C@H]([C@@H]1/C(COC(C)=O)=C/C=C/C(O)=O)CCCCCCC	BCFA_10
O=C(O)/C=C/[C@H]1C(COC(C)=O)=C[C@@H](CCCCCCC)[C@H](CCCCCCC)[C@H]1/C(CO)=C/C=C/C(O)=O	BCFA_11
O=C(O)/C=C/[C@H]1C(COC(C)=O)=C[C@@H](CCCCCCC)[C@H]([C@@H]1/C(CO)=C/C=C/C(O)=O)CCCCCCC	BCFA_12
O=C(O)/C=C/[C@H]1C(COC(C)=O)=C[C@@H](CCCCCCC)[C@H](CCCCCCC)[C@H]1/C(COC(C)=O)=C/C=C/C(O)=O	BCFA_13a
O=C(O)/C=C/[C@H]1C(COC(C)=O)=C[C@@H](CCCCCCC)[C@H]([C@@H]1/C(COC(C)=O)=C/C=C/C(O)=O)CCCCCCC	BCFA_13b
O[C@@H]1[C@@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)[C@H](OC(/C=C/C3=CC(O)=C(O)C=C3)=O)[C@@H](CO)O[C@H]1OCCC4=CC=C(O)C(O)=C4	KU002-2
O[C@H]1C(C2=C(O)C=C(O)C=C2O[C@@H]1C3=CC(O)=C(O)C=C3)=O	KU002-3
O[C@H]1C(C2=C(O)C=C(O)C=C2O[C@@H]1C3=CC=C(O)C=C3)=O	KU002-5-1
O=C(/C=C(C)/CO)CC(CCCC(CO1)=CC1=O)COC(C)=O	KU002-5-2
OC(C=C1)=C(O)C=C1[C@@H]2[C@@H](OC(C)=O)C(C3=C(O)C=C(O)C=C3O2)=O	KU002-8-3
OC1=C(O)C=CC(/C=C/C(OCC(CCCC(CO2)=CC2=O)CC(/C=C(C)/CO)=O)=O)=C1	KU002-8-2
OC1=C(OC)C=CC(C2=C(OC)C(C3=C(O)C=C(O)C=C3O2)=O)=C1	KU002-11-2
O=C(/C=C(C)/COC(C)=O)CC(CCCC(CO1)=CC1=O)COC(C)=O	KU002-11-3
O=C(C=C(C)C)CC(CCCC(CO1)=CC1=O)COC(C)=O	KU002-12-3-1
CC(OC/C=C/C1=CC(OC)=C(OC)C=C1)=O	KU002-12-3-5
OC1=C(O)C=CC(/C=C/C(OCC(CCCC(CO2)=CC2=O)CC(C=C(C)C)=O)=O)=C1	KU002-13
OC1=CC(O)=C(C(CC(C2=CC=CC=C2)O3)=O)C3=C1	KU002-14
OC1=CC(O)=C(C(C(O)=C(C2=CC=CC=C2)O3)=O)C3=C1	KU002-15-1
