filename	ATTRIBUTE_origin	ATTRIBUTE_leaf.resin	ATTRIBUTE_pollination	ATTRIBUTE_traditional.use	ATTRIBUTE_antibacterial.activity	ATTRIBUTE_leaf.hairiness	ATTRIBUTE_phylo.clade	ATTRIBUTE_phylo.clade.general	ATTRIBUTE_biogeography	ATTRIBUTE_sample.weight.mg
186_MJB2456_6ul_GD2_01_22384.mzML	Eremophila_decipiens_decipiens_MJB2456	1	1	0	1	1	h14	h14	1	11.4
188_MJB2458_6ul_GD4_01_22386.mzML	Eremophila_pustulata_MJB2458	0	0	0	NA	0	h3	h3	1	14.7
189_MJB2459_6ul_GD5_01_22387.mzML	Eremophila_granitica_MJB2459	1	0	0	NA	1	h12	h12	1	11.7
191_MJB2461_6ul_GD7_01_22389.mzML	Eremophila_ionantha_MJB2461	1	0	0	1	0	h3	h3	1	13.4
192_MJB2462_6ul_GD8_01_22390.mzML	Eremophila_maculata_brevifolia_MJB2462	0	1	1	0	1	h8	h	1	13
194_RMF03_6ul_GE2_01_22392.mzML	Eremophila_subfloccosa_subfloccosa_RMF03	1	1	0	1	1	h14	h14	1	12.5
195_RMF05_6ul_GE3_01_22393.mzML	Eremophila_bowmannii_bowmannii_RMF05	0	0	0	0	1	h10	h10	1	9.4
196_RMF12_6ul_GE4_01_22394.mzML	Eremophila_mitchellii_RMF12	1	0	1	0	0	h2	h	0	10
197_RMF13_6ul_GE5_01_22395.mzML	Eremophila_willsii_integrifolia_RMF13	1	0	0	NA	0	h12	h12	1	13.7
198_RMF17_6ul_GE6_01_22396.mzML	Eremophila_weldii_RMF17	0	0	0	0	0	h3	h3	1	10.4
199_RMF23_6ul_GE7_01_22397.mzML	Eremophila_dalyana_RMF23	0	0	1	NA	0	h3	h3	1	13.4
200_RMF25_6ul_GE8_01_22398.mzML	Myoporum_parvifolium_RMF25	0	0	0	NA	0	a	ag	3	7.4
204_RMF29_6ul_BA4_01_22404.mzML	Myoporum_caprarioides_RMF29	1	0	0	NA	0	a	ag	2	13.4
206_RMF31_6ul_BA6_01_22406.mzML	Myoporum_montanum_RMF31	0	0	1	1	0	a	ag	0	16.7
207_RMF32_6ul_BA7_01_22407.mzML	Myoporum_petiolatum_RMF32	1	0	0	NA	0	a	ag	3	15.8
209_RMF35_6ul_BB1_01_22409.mzML	Myoporum_platycarpum_platycarpum_RMF35	1	0	1	NA	0	f	ag	0	9.5
210_RMF36_6ul_BB2_01_22410.mzML	Eremophila_saligna_RMF36	1	0	0	0	0	g	ag	1	9.8
212_RMF38_6ul_BB4_01_22412.mzML	Myoporum_betcheanum_RMF38	0	0	0	NA	1	a	ag	3	11.9
215_RMF42_6ul_BB7_01_22415.mzML	Myoporum_bateae_RMF42	1	0	0	NA	0	a	ag	3	11.1
